type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size
ticker,1294587441,WLUNA-USD,1.23,24.85,54470897.511,0.95,25.16,70319270.071,1.22,1.23,buy,2022-05-11T19:18:38.394326Z,7995847,100.0
ticker,1294587503,WLUNA-USD,1.22,24.85,54471416.568,0.95,25.16,70319789.128,1.22,1.23,sell,2022-05-11T19:18:38.740197Z,7995848,519.057
ticker,1294587505,WLUNA-USD,1.22,24.85,54471419.348,0.95,25.16,70319791.908,1.21,1.23,sell,2022-05-11T19:18:38.740197Z,7995849,2.78
ticker,1294587606,WLUNA-USD,1.22,24.85,54471449.303,0.95,25.16,70319821.863,1.21,1.22,buy,2022-05-11T19:18:38.960721Z,7995850,29.955
ticker,1294587617,WLUNA-USD,1.22,24.85,54471461.736,0.95,25.16,70319834.296,1.21,1.22,buy,2022-05-11T19:18:39.085208Z,7995851,12.433
ticker,1294587634,WLUNA-USD,1.22,24.85,54472044.979,0.95,25.16,70320417.539,1.21,1.22,buy,2022-05-11T19:18:39.369427Z,7995852,583.243
ticker,1294587653,WLUNA-USD,1.21,24.85,54472144.979,0.95,25.16,70320517.539,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995853,100.0
ticker,1294587655,WLUNA-USD,1.21,24.85,54472556.979,0.95,25.16,70320929.539,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995854,412.0
ticker,1294587657,WLUNA-USD,1.21,24.85,54472625.196,0.95,25.16,70320997.756,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995855,68.217
ticker,1294587659,WLUNA-USD,1.21,24.85,54472628.196,0.95,25.16,70321000.756,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995856,3.0
ticker,1294587661,WLUNA-USD,1.21,24.85,54472695.849,0.95,25.16,70321068.409,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995857,67.653
ticker,1294587663,WLUNA-USD,1.21,24.85,54473195.849,0.95,25.16,70321568.409,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995858,500.0
ticker,1294587665,WLUNA-USD,1.21,24.85,54473205.849,0.95,25.16,70321578.409,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995859,10.0
ticker,1294587667,WLUNA-USD,1.21,24.85,54473358.898,0.95,25.16,70321731.458,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995860,153.049
ticker,1294587669,WLUNA-USD,1.21,24.85,54473359.898,0.95,25.16,70321732.458,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995861,1.0
ticker,1294587671,WLUNA-USD,1.21,24.85,54473362.684,0.95,25.16,70321735.244,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995862,2.786
ticker,1294587673,WLUNA-USD,1.21,24.85,54476262.684,0.95,25.16,70324635.244,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995863,2900.0
ticker,1294587675,WLUNA-USD,1.21,24.85,54476264.684,0.95,25.16,70324637.244,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995864,2.0
ticker,1294587677,WLUNA-USD,1.21,24.85,54477420.618,0.95,25.16,70325793.178,1.21,1.22,sell,2022-05-11T19:18:39.450629Z,7995865,1155.934
ticker,1294587683,WLUNA-USD,1.21,24.85,54477427.8,0.95,25.16,70325800.36,1.21,1.22,sell,2022-05-11T19:18:39.468532Z,7995866,7.182
ticker,1294587690,WLUNA-USD,1.21,24.85,54477434.982,0.95,25.16,70325807.542,1.21,1.22,sell,2022-05-11T19:18:39.485956Z,7995867,7.182
